,,,Concentration (ppb)**,,,Qualitative Monitoring,,,,Representative Chromatograms
Sample Name*,Field Sampling Date,Analysis Date,Rotenone,Rotenolone,Deguelin,Tephrosin,CFT-5,CFT-6,,
N. Vogel Surface_a,3/11/2022,3/15/2022,ND,ND,ND,ND,Detected,Detected,,
N. Vogel Surface_b,3/11/2022,3/15/2022,ND,ND,ND,ND,Detected,Detected,,
N. Vogel Benthic_a,3/11/2022,3/15/2022,ND,ND,ND,ND,ND,ND,,
N. Vogel Benthic_b,3/11/2022,3/15/2022,ND,ND,ND,ND,ND,ND,,
Blank,---,3/15/2022,ND,ND,ND,ND,ND,ND,,
25 ppb QC,---,3/15/2022,24.97,25.74,25.75,ND,ND,ND,,
,,,,,,,,,,
*a and b denote separate extraction duplicates,,,,,,,,,,
**ND = Not Detected,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
