,,,Concentration (ppb)**,,,Qualitative Monitoring,,,,Representative Chromatograms
Sample Name*,Field Sampling Date,Analysis Date,Rotenone,Rotenolone,Deguelin,Tephrosin,CFT-5,CFT-6,,
Vogel Surface_a,11/10/2021,11/12/2021,12.39,7.69,9.24,Detected,Detected,Detected,,
Vogel Surface_b,11/10/2021,11/12/2021,13.08,8.5,9.59,Detected,Detected,Detected,,
N. Vogel Surface_a,11/10/2021,11/12/2021,15.05,10.87,10.27,Detected,Detected,Detected,,
N. Vogel Surface_b,11/10/2021,11/12/2021,15.62,11.77,10.28,Detected,Detected,Detected,,
Miller Creek Weir_a,11/10/2021,11/12/2021,2.03,5.52,1.01,Detected,ND,ND,,
Miller Creek Weir_b,11/10/2021,11/12/2021,1.99,4.99,1.06,Detected,ND,ND,,
Blank,---,11/12/2021,ND,ND,ND,ND,ND,ND,,
25 ppb QC,---,11/12/2021,25.49,24.91,25.4,ND,ND,ND,,
,,,,,,,,,,
*a and b denote separate extraction duplicates,,,,,,,,,,
**ND = Not Detected,,,,,,,,,,
