,,,Concentration (ppb)**,,,Qualitative Monitoring,,,,Representative Chromatograms
Sample Name*,Field Sampling Date,Analysis Date,Rotenone,Rotenolone,Deguelin,Tephrosin,CFT-5,CFT-6,,
Vogel Surface_a,12/2/2021,12/6/2021,8.79,7.63,6.25,Detected,Detected,Detected,,
Vogel Surface_b,12/2/2021,12/6/2021,8.83,6.98,6.26,Detected,Detected,Detected,,
Vogel Benthic_a,12/2/2021,12/6/2021,10.79,8.54,7.52,Detected,Detected,Detected,,
Vogel Benthic_b,12/2/2021,12/6/2021,10.64,8.54,7.39,Detected,Detected,Detected,,
N. Vogel Surface_a,12/2/2021,12/6/2021,13.81,12.26,8.57,Detected,Detected,Detected,,
N. Vogel Surface_b,12/2/2021,12/6/2021,13.61,11.64,8.56,Detected,Detected,Detected,,
N. Vogel Benthic_a,12/2/2021,12/6/2021,11.78,10.85,7.59,Detected,Detected,Detected,,
N. Vogel Benthic_b,12/2/2021,12/6/2021,12.78,12.58,7.96,Detected,Detected,Detected,,
Miller Creek_a,12/3/2021,12/6/2021,6.32,6.83,4.59,Detected,Detected,Detected,,
Miller Creek_b,12/3/2021,12/6/2021,6.85,6.93,4.77,Detected,Detected,Detected,,
Blank,---,12/6/2021,ND,ND,ND,ND,ND,ND,,
25 ppb QC,---,12/6/2021,24.44,25.40,25.01,ND,ND,ND,,
,,,,,,,,,,
*a and b denote separate extraction duplicates,,,,,,,,,,
**ND = Not Detected,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
